"Công ty/Display Name","Nhật ký/Tên nhật ký","Phương pháp tính","Phương thức thời gian","Tài khoản chi phí khấu hao/Tên","Tài khoản khấu hao/Tên","Tài khoản tài sản/Tên","Tên","Độ dài chu kỳ"
"Your Company","Tiền mặt","Tuyến tính","Số lần khấu hao","Hao mòn TSCĐ cố định hữu hình","Hao mòn TSCĐ cố định hữu hình","Mua sắm TSCĐ","Desktop","12"
"Your Company","Tiền mặt","Tuyến tính","Số lần khấu hao","Hao mòn TSCĐ cố định hữu hình","Hao mòn TSCĐ cố định hữu hình","Mua sắm TSCĐ","Laptop","12"
"Your Company","Tiền mặt","Tuyến tính","Số lần khấu hao","Hao mòn TSCĐ cố định hữu hình","Hao mòn TSCĐ cố định hữu hình","Mua sắm TSCĐ","Car","12"
"Your Company","Tiền mặt","Tuyến tính","Số lần khấu hao","Hao mòn TSCĐ cố định hữu hình","Hao mòn TSCĐ cố định hữu hình","Mua sắm TSCĐ","Table","12"
